DMA,retail_month,gross_bookings
new york,11/1/18,316713
new york,9/1/18,243240
new york,5/1/19,232809
new york,2/1/19,200164
new york,10/1/18,194859
new york,4/1/19,173510
new york,7/1/18,163520
new york,3/1/19,158588
san francisco-oakland-san jose,11/1/18,155397
new york,6/1/18,151125
new york,12/1/18,150806
new york,1/1/19,140608
san francisco-oakland-san jose,5/1/19,134979
chicago,5/1/19,125023
chicago,4/1/19,122516
chicago,3/1/19,122386
los angeles,11/1/18,122009
san francisco-oakland-san jose,2/1/19,118692
los angeles,5/1/19,110922
"washington, dc-hagrstwn",11/1/18,110011
seattle-tacoma,11/1/18,108966
"washington, dc-hagrstwn",5/1/19,107942
seattle-tacoma,2/1/19,94733
"washington, dc-hagrstwn",3/1/19,94196
"washington, dc-hagrstwn",2/1/19,91752
san francisco-oakland-san jose,6/1/18,91650
san francisco-oakland-san jose,9/1/18,91435
new york,8/1/18,91045
seattle-tacoma,5/1/19,88871
los angeles,2/1/19,87470
san francisco-oakland-san jose,4/1/19,85465
san francisco-oakland-san jose,12/1/18,84541
san francisco-oakland-san jose,7/1/18,83925
chicago,2/1/19,82839
los angeles,12/1/18,82446
los angeles,3/1/19,80701
seattle-tacoma,3/1/19,79811
los angeles,7/1/18,78570
"washington, dc-hagrstwn",4/1/19,76748
denver,11/1/18,75847
"washington, dc-hagrstwn",9/1/18,75820
los angeles,1/1/19,73388
san francisco-oakland-san jose,3/1/19,73324
chicago,7/1/18,68255
los angeles,9/1/18,67605
seattle-tacoma,4/1/19,65257
san francisco-oakland-san jose,1/1/19,64865
san francisco-oakland-san jose,10/1/18,63979
seattle-tacoma,1/1/19,63770
seattle-tacoma,7/1/18,62655
chicago,9/1/18,62335
philadelphia,2/1/19,60016
philadelphia,11/1/18,59383
denver,5/1/19,59131
seattle-tacoma,9/1/18,58635
"washington, dc-hagrstwn",10/1/18,57888
chicago,11/1/18,57762
minneapolis-saint paul,5/1/19,57560
denver,2/1/19,57005
minneapolis-saint paul,11/1/18,56638
"washington, dc-hagrstwn",7/1/18,53410
"washington, dc-hagrstwn",1/1/19,53352
los angeles,4/1/19,50604
chicago,8/1/18,50115
"portland, or",11/1/18,50020
seattle-tacoma,10/1/18,49685
chicago,12/1/18,48997
atlanta,2/1/19,48246
raleigh-durham,11/1/18,46555
seattle-tacoma,12/1/18,46398
"portland, or",2/1/19,45628
chicago,10/1/18,45620
denver,7/1/18,45305
atlanta,12/1/18,44227
san francisco-oakland-san jose,8/1/18,42880
raleigh-durham,2/1/19,42455
philadelphia,5/1/19,40793
chicago,1/1/19,40026
san diego,11/1/18,39929
dallas-fort worth,5/1/19,39679
denver,3/1/19,39674
"washington, dc-hagrstwn",12/1/18,38354
salt lake city,11/1/18,38144
philadelphia,7/1/18,37755
"portland, or",4/1/19,37423
austin,4/1/19,37085
austin,11/1/18,37001
minneapolis-saint paul,2/1/19,36932
chicago,6/1/18,36850
los angeles,10/1/18,36649
minneapolis-saint paul,12/1/18,36492
philadelphia,12/1/18,36330
"washington, dc-hagrstwn",6/1/18,35655
"portland, or",5/1/19,35175
denver,9/1/18,34775
nashville,11/1/18,34475
"portland, or",12/1/18,34422
philadelphia,4/1/19,34416
atlanta,3/1/19,33691
seattle-tacoma,6/1/18,33640
detroit,11/1/18,32616
raleigh-durham,5/1/19,32119
minneapolis-saint paul,9/1/18,32010
"portland, or",3/1/19,31752
denver,4/1/19,31734
atlanta,11/1/18,31546
austin,2/1/19,31472
denver,12/1/18,31397
philadelphia,10/1/18,30390
philadelphia,3/1/19,29966
raleigh-durham,12/1/18,29205
baltimore,11/1/18,29197
philadelphia,6/1/18,28755
los angeles,6/1/18,28625
philadelphia,9/1/18,28200
